time,height,velocity,pitch
6.390000,30.049179,1.133831,2.000000
6.400000,30.037840,1.133831,2.000000
6.410000,30.026502,1.133830,2.000000
6.420000,30.015164,1.133829,2.000000
6.430000,30.003825,1.133828,2.000000
6.440000,29.992487,1.133828,2.000000
6.450000,29.981149,1.133827,2.000000
6.460000,29.969811,1.133826,2.000000
6.470000,29.958472,1.133825,2.000000
6.480000,29.947134,1.133824,2.000000
6.490000,29.935796,1.133824,2.000000
6.500000,29.924458,1.133823,2.000000
6.510000,29.913119,1.133822,2.000000
6.520000,29.901781,1.133821,2.000000
6.530000,29.890443,1.133821,2.000000
6.540000,29.879105,1.133820,2.000000
6.550000,29.867767,1.133819,2.000000
6.560000,29.856428,1.133818,2.000000
6.570000,29.845090,1.133818,2.000000
6.580000,29.833752,1.133817,2.000000
6.590000,29.822414,1.133816,2.000000
6.600000,29.811076,1.133815,2.000000
6.610000,29.799738,1.133815,2.000000
6.620000,29.788400,1.133814,2.000000
6.630000,29.777061,1.133813,2.000000
6.640000,29.765723,1.133812,2.000000
6.650000,29.754385,1.133812,2.000000
6.660000,29.743047,1.133811,2.000000
6.670000,29.731709,1.133810,2.000000
6.680000,29.720371,1.133809,2.000000
6.690000,29.709033,1.133809,2.000000
6.700000,29.697695,1.133808,2.000000
6.710000,29.686357,1.133807,2.000000
6.720000,29.675019,1.133806,2.000000
6.730000,29.663680,1.133806,2.000000
6.740000,29.652342,1.133805,2.000000
6.750000,29.641004,1.133804,2.000000
6.760000,29.629666,1.133803,2.000000
6.770000,29.618328,1.133803,2.000000
6.780000,29.606990,1.133802,2.000000
6.790000,29.595652,1.133801,2.000000
6.800000,29.584314,1.133800,2.000000
6.810000,29.572976,1.133800,2.000000
6.820000,29.561638,1.133799,2.000000
6.830000,29.550300,1.133798,2.000000
6.840000,29.538962,1.133797,2.000000
6.850000,29.527624,1.133797,2.000000
6.860000,29.516286,1.133796,2.000000
6.870000,29.504949,1.133795,2.000000
6.880000,29.493611,1.133794,2.000000
